"","x"
"tBodyAccmeanX",0.274347260646063
"tBodyAccmeanY",-0.0177434918458972
"tBodyAccmeanZ",-0.108925032737064
"tBodyAccstdX",-0.607783818968688
"tBodyAccstdY",-0.510191378479501
"tBodyAccstdZ",-0.61306429934125
"tGravityAccmeanX",0.669226222373046
"tGravityAccmeanY",0.00403879092060517
"tGravityAccmeanZ",0.0921508600211059
"tGravityAccstdX",-0.965207115039421
"tGravityAccstdY",-0.95440802665318
"tGravityAccstdZ",-0.938900969424022
"tBodyAccJerkmeanX",0.0789381220355816
"tBodyAccJerkmeanY",0.0079481069090025
"tBodyAccJerkmeanZ",-0.00467469823628666
"tBodyAccJerkstdX",-0.63978102073413
"tBodyAccJerkstdY",-0.607971599340832
"tBodyAccJerkstdZ",-0.762820240449202
"tBodyGyromeanX",-0.0309824871713436
"tBodyGyromeanY",-0.0747194855994359
"tBodyGyromeanZ",0.088357304227173
"tBodyGyrostdX",-0.721192598029789
"tBodyGyrostdY",-0.682653506899942
"tBodyGyrostdZ",-0.653665674372188
"tBodyGyroJerkmeanX",-0.0967092754729682
"tBodyGyroJerkmeanY",-0.0423181079782632
"tBodyGyroJerkmeanZ",-0.0548303497968374
"tBodyGyroJerkstdX",-0.731348533131935
"tBodyGyroJerkstdY",-0.786062320321895
"tBodyGyroJerkstdZ",-0.739932395222129
"tBodyAccMagmean",-0.54822165976717
"tBodyAccMagstd",-0.591225327146546
"tGravityAccMagmean",-0.54822165976717
"tGravityAccMagstd",-0.591225327146546
"tBodyAccJerkMagmean",-0.649417950650692
"tBodyAccJerkMagstd",-0.627762945785391
"tBodyGyroMagmean",-0.60524856977632
"tBodyGyroMagstd",-0.662533062898382
"tBodyGyroJerkMagmean",-0.762137610987416
"tBodyGyroJerkMagstd",-0.77799317279698
"fBodyAccmeanX",-0.622761658493734
"fBodyAccmeanY",-0.53749328145871
"fBodyAccmeanZ",-0.665033506271952
"fBodyAccstdX",-0.603356276555826
"fBodyAccstdY",-0.528420009576204
"fBodyAccstdZ",-0.617874813333395
"fBodyAccmeanFreqX",-0.2214691368263
"fBodyAccmeanFreqY",0.015400588735675
"fBodyAccmeanFreqZ",0.0473098698476722
"fBodyAccJerkmeanX",-0.656713524546605
"fBodyAccJerkmeanY",-0.628961179980356
"fBodyAccJerkmeanZ",-0.743608246170053
"fBodyAccJerkstdX",-0.654979816705833
"fBodyAccJerkstdY",-0.612243590244114
"fBodyAccJerkstdZ",-0.780928428167213
"fBodyAccJerkmeanFreqX",-0.0477062917542325
"fBodyAccJerkmeanFreqY",-0.213392904926883
"fBodyAccJerkmeanFreqZ",-0.123828014584147
"fBodyGyromeanX",-0.672094306818974
"fBodyGyromeanY",-0.70621663959074
"fBodyGyromeanZ",-0.644192752866115
"fBodyGyrostdX",-0.738594816501343
"fBodyGyrostdY",-0.674226934551517
"fBodyGyrostdZ",-0.690446312501126
"fBodyGyromeanFreqX",-0.101042702224631
"fBodyGyromeanFreqY",-0.174277577553958
"fBodyGyromeanFreqZ",-0.0513928953203266
"fBodyAccMagmean",-0.585962696268539
"fBodyAccMagstd",-0.659531216655476
"fBodyAccMagmeanFreq",0.0768760112631957
"fBodyBodyAccJerkMagmean",-0.620789916331592
"fBodyBodyAccJerkMagstd",-0.640076803144351
"fBodyBodyAccJerkMagmeanFreq",0.173219742700723
"fBodyBodyGyroMagmean",-0.697411069729937
"fBodyBodyGyroMagstd",-0.699976372277643
"fBodyBodyGyroMagmeanFreq",-0.0415636227771787
"fBodyBodyGyroJerkMagmean",-0.779767633083527
"fBodyBodyGyroJerkMagstd",-0.792190209274884
"fBodyBodyGyroJerkMagmeanFreq",0.126707820497791
"subject",16.1464219827168
